1-467	4.752414884129554e-05
1-0	6.26979408508722e-05
1-684	0.00015991429719187304
1-1255	1.1382599377975328e-05
1-283	0.00020588394351224394
1-1817	4.6682593800915215e-05
1-400	6.573903170841147e-05
1-1011	2.4853664414401793e-05
1-1076	3.0826300601729034e-05
1-498	4.196381352644005e-05
1-1669	2.3719451724403764e-05
1-1	2.0583816830997876e-05
1-623	3.1749547864800365e-05
1-62	4.88414018631372e-05
1-1717	3.092519707993457e-05
1-823	6.470824791450318e-05
1-533	3.2573278659029345e-05
1-707	7.226066971507828e-05
1-1611	1.244193089203033e-05
1-1205	6.124187775265334e-05
1-1820	1.698455792967238e-05
1-1623	0.00012784880885385346
1-1878	0.00012468933732459058
1-1136	3.697677849085629e-05
1-859	1.6415338393548373e-05
1-1467	3.473975590380393e-05
1-948	2.684801769335031e-05
1-1684	3.330189906024316e-05
1-220	8.374023546646491e-05
1-1372	2.3249254820119226e-05
1-1339	5.194515963628729e-05
1-1966	9.17854188243696e-06
1-394	7.280713108578164e-05
1-624	5.603762299212175e-05
1-1392	1.5278964879187614e-05
1-1239	2.509127094501008e-05
1-655	3.6681097081715344e-05
1-842	5.5127860111889524e-05
1-360	9.29310331139925e-06
1-1200	4.2301773868982154e-05
1-1247	9.907025235146831e-06
1-1822	5.0883161512720686e-05
1-540	3.6393359744553125e-05
1-1992	2.606778754192433e-05
1-365	4.0394634005690456e-05
1-649	0.00015179185999112107
1-1254	2.0361538119102138e-05
1-1000	7.533032010233275e-05
1-1779	5.549486042652644e-05
1-1001	9.93163919834398e-05
1-1010	1.8837708735365703e-05
1-1383	3.248563890295663e-05
1-1590	8.818448743631299e-05
1-1498	2.250650028148395e-05
1-57	0.00016416236580240904
1-49	3.3341367200774275e-05
1-683	5.4343180272342665e-05
1-449	0.00011426468784558731
1-1071	5.688546232276372e-05
1-1201	1.7962160369823116e-05
1-466	3.2194717701822754e-05
1-1748	4.402445695201358e-05
1-866	0.0003080892646148697
1-666	2.499307870695015e-05
1-379	0.00015352515641938225
1-1845	1.949001678065857e-05
1-1671	4.195699272865625e-05
1-1442	3.641798726522171e-05
1-1519	4.743971441999699e-05
1-3	4.4323537093802913e-05
1-792	3.9816573684756024e-05
1-1575	1.9407366048057956e-05
1-1448	0.00013945372195577204
1-310	6.127393773433526e-05
1-1141	4.4230193903826855e-05
1-1973	2.3420086589183804e-05
1-1074	0.00033904546561510697
1-1396	7.526259976571759e-05
1-1500	5.0428692620419716e-05
1-1264	1.6391434481136798e-05
1-714	9.523105018813544e-05
1-401	4.780700948331628e-05
1-1625	3.312519710218098e-05
1-1012	3.7169234611417326e-05
1-1627	6.249763476249126e-05
1-1070	5.1240404200295695e-05
1-431	0.0003811868128752336
1-1337	2.997574483451074e-05
1-1284	3.5425330114407524e-05
1-1977	3.2575272431404014e-05
1-309	4.6422685356127526e-05
1-535	3.506223659038853e-05
1-817	0.00014609620101164843
1-184	8.916746824402559e-05
1-430	2.8345708913011112e-05
1-1708	6.440693420201445e-05
1-46	2.6299728675762958e-05
1-1269	0.00010978731251379483
1-685	1.7634174022950907e-05
1-1520	2.1395224762691993e-05
1-7	0.0001462965243904918
1-106	9.544441794918644e-05
1-1545	1.7152419092249522e-05
1-1852	4.453310892754013e-05
1-1048	3.455240804286117e-05
1-963	5.025537582775282e-05
1-135	0.00013196215004403366
1-512	3.425888701813616e-05
1-425	4.7845483113159083e-05
1-1656	2.7665064128875757e-05
1-898	3.8720529000844115e-05
